date,item,quantity,unit_price,discount,cash,bank,sales,pay_type,month
1/10/2020,225/70/16,2,18500,0,0,0,37000,Cash,10
1/10/2020,205/60/16,1,12800,0,0,0,12800,Cash,10
1/10/2020,215/60/16,2,13500,0,60000,16800,27000,Cash,10
1/10/2020,215/60/16,2,13500,0,0,0,27000,Cash,10
1/10/2020,185/70/14,2,9800,0,120000,12400,19600,Cash,10
1/10/2020,185/70/13,2,10000,0,0,0,20000,Credit Sales,10
1/10/2020,205/60/16,2,12800,0,0,0,25600,Transfer,10
1/10/2020,215/60/16,2,13300,0,0,0,26600,Transfer,10
2/10/2020,235/70/16,2,19000,0,76000,0,38000,Cash,10
2/10/2020,195/14C,2,15000,0,30000,0,30000,Cash,10
2/10/2020,205/60/16,0,128000,0,0,0,0,Cash,10
2/10/2020,225/55/17,0,15000,0,131000,69600,0,Cash,10
2/10/2020,215/60/16,2,13300,0,0,0,26600,Credit Sales,10
2/10/2020,205/60/16,2,12800,0,0,0,25600,Cash,10
3/10/2020,225/70/16 ,2,18500,0,0,37000,37000,Transfer,10
3/10/2020,235/70/16,2,19000,0,0,0,38000,Cash,10
5/10/2020,215/60/16,2,13300,0,0,0,26600,Cash,10
5/10/2020,185/70/14,2,10000,0,0,0,20000,Cash,10
6/10/2020,245/70/16,2,19000,0,152000,0,38000,Cash,10
6/10/2020,195/15C,2,16500,0,99000,0,33000,Cash,10
7/10/2020,185/70/14,2,10000,0,0,0,20000,Cash,10
7/10/2020,215/60/16,2,13300,0,50000,53200,26600,Cash,10
8/10/2020,205/65/15,2,12800,0,0,0,25600,Others,10
8/10/2020,205/65/15,2,13000,0,0,0,26000,Others,10
8/10/2020,205/60/16,2,13000,0,0,0,26000,Others,10
8/10/2020,195/65/15,2,11000,0,0,0,22000,Others,10
8/10/2020,185/70/14,2,9600,0,0,0,19200,Others,10
8/10/2020,205/65/15,2,12800,0,0,0,32000,Transfer,10
8/10/2020,205/65/15,2,13000,0,0,0,31000,Transfer,10
8/10/2020,205/60/16,2,13000,0,0,0,21400,Transfer,10
8/10/2020,195/65/15,2,11000,0,0,0,22000,Transfer,10
8/10/2020,185/70/14,2,9600,0,0,0,22000,Transfer,10
9/10/2020,215/60/16,2,13400,0,0,0,26800,Cash,10
9/10/2020,205/60/16,2,13000,0,0,0,26000,Cash,10
9/10/2020,205/60/16,2,12700,0,0,0,25400,Cash,10
9/10/2020,185/70/14,3,10000,0,50000,98400,30000,Cash,10
9/10/2020,185/70/14,2,9800,0,0,0,19600,Transfer,10
9/10/2020,205/55/16,2,12500,0,0,0,25000,Transfer,10
9/10/2020,225/55/17,2,15800,0,0,0,31600,Transfer,10
9/10/2020,225/65/17,2,18000,0,0,0,36000,Transfer,10
10/10/2020,205/65/15,2,12800,0,0,204800,25600,Transfer,10
10/10/2020,185/65/15,2,10700,0,0,0,21400,Transfer,10
10/10/2020,205/65/15,2,12800,0,0,0,25600,Transfer,10
10/10/2020,215/60/16,2,13000,0,0,158800,26000,Transfer,10
10/10/2020,185/70/14,2,9800,0,0,0,19600,Transfer,10
10/10/2020,195/14C,2,14500,0,0,0,29000,Transfer,10
10/10/2020,195/15C,3,16500,0,0,249000,49500,Transfer,10
10/10/2020,185/14C,2,13500,0,0,0,27000,Cash,10
12/10/2020,185/70/14,2,10000,0,0,0,20000,Cash,10
12/10/2020,195/65/15,2,11000,0,0,0,22000,Cash,10
12/10/2020,195/70/14,2,11000,0,0,0,22000,Cash,10
12/10/2020,205/60/16,2,13000,0,160000,30000,26000,Cash,10
12/10/2020,225/45/18,2,17000,0,0,0,34000,Cash,10
12/10/2020,185/70/14,2,9600,0,0,0,19200,Cash,10
12/10/2020,205/60/16,2,13000,0,0,0,26000,Cash,10
12/10/2020,205/65/15,0,12800,0,0,0,0,Cash,10
10/13/2020,185/70/14,2,10000,0,0,0,20000,Cash,10
10/13/2020,215/60/16,2,13800,0,0,0,27600,Cash,10
10/13/2020,205/65/15,2,13000,0,150000,57200,26000,Cash,10
10/13/2020,195/65/15,2,11000,0,0,0,22000,Cash,10
10/14/2020,195/70/14,2,11000,0,0,0,22000,Credit Sales,10
10/14/2020,205/65/15,2,12800,0,0,0,25600,Cash,10
10/14/2020,195/70/14,2,11000,0,0,0,22000,Cash,10
10/14/2020,205/60/16,2,12700,0,0,0,25400,Cash,10
10/14/2020,185/70/14,2,9900,0,57000,128800,19800,Cash,10
10/14/2020,215/60/16,2,13800,0,0,0,27600,Transfer,10
10/15/2020,185/70/14,2,9600,0,0,0,19200,Cash,10
10/15/2020,185/70/14,2,10000,0,0,0,20000,Cash,10
10/15/2020,185/70/14,2,9900,0,65000,93000,19800,Cash,10
10/15/2020,185/70/14,2,10000,0,200000,200000,20000,Cash,10
10/16/2020,185/70/14,2,10000,0,40000,0,20000,Cash,10
10/16/2020,205/60/16,2,12700,0,0,0,25400,Cash,10
10/16/2020,385/65/22.5,2,93000,0,0,372000,186000,Transfer,10
10/16/2020,315/80/22.5 616,2,72000,0,0,0,144000,Cash,10
10/16/2020,315/80/22.5 616,2,72000,0,200000,82400,144000,Cash,10
10/16/2020,315/80/22.5 FA 808,2,73000,0,0,730000,146000,Transfer,10
10/16/2020,315/80/22.5 FA 808,2,73500,0,0,0,147000,Transfer,10
10/16/2020,385/65/22.5,2,93000,0,0,1362000,186000,Transfer,10
10/16/2020,315/80/22.5 FA 868,2,78000,0,0,780000,156000,Transfer,10
10/16/2020,385/65/22.5,2,93000,0,0,0,186000,Others,10
10/16/2020,315/80/22.5 FA 808,2,73000,0,0,292000,146000,Others,10
10/16/2020,315/80/22.5 616,2,72000,0,144000,0,144000,Cash,10
10/17/2020,185/70/14,2,10000,0,20000,0,20000,Cash,10
10/17/2020,205/65/15,2,12800,0,35000,67400,25600,Cash,10
10/17/2020,205/65/15,2,12800,0,25600,0,25600,Cash,10
10/17/2020,195/65/15,2,11000,0,0,0,22000,Transfer,10
10/17/2020,195/70/14,2,11000,0,0,220000,22000,Transfer,10
10/17/2020,185/70/14,2,10000,0,0,0,20000,Cash,10
10/19/2020,205/65/15,2,12800,0,100000,28000,25600,Cash,10
10/19/2020,195/70/14,2,11000,0,0,0,22000,Transfer,10
10/19/2020,195/65/15,2,11000,0,0,220000,22000,Transfer,10
10/19/2020,195/65/15,2,11000,0,0,0,22000,Cash,10
10/19/2020,195/70/14,2,11000,0,150000,70000,22000,Cash,10
10/19/2020,205/65/15,2,12800,0,25600,0,25600,Cash,10
10/20/2020,185/70/14,2,9900,0,0,0,19800,Cash,10
10/20/2020,205/60/16,2,12700,0,124400,125400,25400,Cash,10
10/20/2020,185/70/14,2,9900,0,0,0,19800,Cash,10
10/20/2020,205/65/15,2,12800,0,0,0,25600,Cash,10
10/20/2020,195/65/15,1,10700,0,0,0,10700,Cash,10
10/20/2020,205/60/16,1,12700,0,80000,44000,12700,Cash,10
10/21/2020,185/70/14,2,9850,0,0,246250,19700,Transfer,10
10/21/2020,205/65/15 SUNFULL,2,12500,0,0,0,25000,Cash,10
10/21/2020,195/65/15 BOTO,2,11000,0,75000,42500,22000,Cash,10
10/21/2020,185/70/14 BOTO,2,9900,0,0,0,19800,Cash,10
10/21/2020,205/65/15 SUNFULL,2,12500,0,0,149000,25000,Cash,10
10/21/2020,195/65/15 BOTO,2,11000,0,0,0,22000,Cash,10
10/21/2020,205/60/16 BOTO,2,12900,0,0,0,25800,Cash,10
10/21/2020,215/60/16 BOTO,2,13700,0,0,0,27400,Cash,10
10/22/2020,205/65/15 SUNFULL,0,12500,0,0,0,0,Cash,10
10/22/2020,185/70/14 SUNFULL,0,9900,0,149500,0,0,Cash,10
10/22/2020,205/65/15 SUNFULL,2,12500,0,0,0,25000,Cash,10
10/22/2020,185/70/14 BOTO,2,9900,0,149500,0,19800,Cash,10
10/22/2020,225/60/17 BOTO,1,18000,0,0,18000,18000,Transfer,10
10/22/2020,195/15C SUNFULL,2,16800,0,0,0,33600,Cash,10
10/23/2020,185/70/14 BOTO ,0,9800,0,0,0,0,Cash,10
10/23/2020,185/70/14 BOTO,0,9800,0,0,0,0,Cash,10
10/23/2020,185/70/14 BOTO ,2,10000,0,80000,0,20000,Cash,10
10/23/2020,185/70/14 SUNFULL,2,9700,0,0,0,19400,Cash,10
10/23/2020,185/14C SUNFULL,2,14000,0,0,0,28000,Cash,10
10/23/2020,215/60/16 SUNFULL,2,13400,0,0,0,26800,Cash,10
10/24/2020,195/70/14 BOTO,2,11000,0,44000,0,22000,Cash,10
10/24/2020,235/70/16 JOYROAD,2,18800,0,0,0,37600,Cash,10
10/24/2020,225/65/17 BOTO,2,18000,0,0,0,36000,Cash,10
10/24/2020,235/60/18 WINDA,2,21000,0,0,315200,42000,Cash,10
10/24/2020,215/60/16 BOTO,2,13800,0,69000,0,27600,Cash,10
10/24/2020,205/60/16 BOTO ,2,13000,0,0,0,26000,Cash,10
10/28/2020,185/70/14 JOYROAD ,2,9700,0,97000,0,19400,Cash,10
10/28/2020,215/60/16 JOYROAD,3,13400,0,0,0,40200,Transfer,10
10/28/2020,215/60/16 SUNFULL,1,13400,0,0,0,13400,Transfer,10
10/28/2020,215/60/16 BOTO,2,13800,0,0,0,27600,Transfer,10
10/29/2020,185/70/14 JOYROAD,1,9700,0,9700,0,9700,Cash,10
10/29/2020,225/65/17 BOTO,2,18500,0,0,0,37000,Cash,10
